County,State,ST,Fips,Precincts,Votes,Democrats 08,Democrats 12,Republicans 08,Republicans 12,Republicans Perc 16,Democrats Perc 16,Republicans Perc 12,Democrats Perc 12,Votes Trump,Votes Clinton
"Floyd County, Virginia",Virginia,VA,51063,6,7972,2937,2732,4441,4673,66.34470647,28.85097842,61.1329147,35.74045003,5289,2300
"Douglas County, Oregon",Oregon,OR,41019,28,51350,20298,17145,30919,30776,66.43037975,27.05160662,61.79547417,34.42563701,34112,13891
"Chisago County, Minnesota",Minnesota,MN,27025,23,30009,12783,12524,15789,16227,61.45156453,30.92072378,55.11701369,42.53931592,18441,9279
"Ford County, Kansas",Kansas,KS,20057,35,7425,2991,2600,5730,5602,67.25925926,27.36700337,66.99354221,31.09303994,4994,2032
"Cumberland County, North Carolina",North Carolina,NC,37051,77,124402,74693,75792,52151,50666,40.66896031,56.68960306,39.69414216,59.37903965,50593,70523
"Stanly County, North Carolina",North Carolina,NC,37167,23,29451,8878,8431,19329,19904,73.98051,23.79545686,69.31086116,29.35891632,21788,7008
"Harlan County, Nebraska",Nebraska,NE,31083,8,1582,402,354,1329,1395,82.30088496,13.84323641,78.45894263,19.91001125,1302,219
"Guadalupe County, New Mexico",New Mexico,NM,35019,5,1814,1557,1488,620,557,32.57993385,53.03197354,26.08899297,69.69555035,591,962
"Pottawatomie County, Oklahoma",Oklahoma,OK,40125,26,25417,7910,7188,17753,16250,70.13416217,23.62591966,69.33185425,30.66814575,17826,6005
"Crow Wing County, Minnesota",Minnesota,MN,27035,64,35568,15859,14760,18567,19415,62.66025641,30.87606838,55.59851088,42.26804124,22287,10982
"Lincoln County, Nebraska",Nebraska,NE,31111,24,15674,5046,4450,10817,10728,76.50886819,18.36161797,68.52762696,28.42542319,11992,2878
"Park County, Colorado",Colorado,CO,8093,13,10245,4250,3862,4896,5236,59.08247926,32.70863836,55.90433483,41.23425155,6053,3351
"Lincoln County, Georgia",Georgia,GA,13181,7,4100,1650,1586,2731,2807,67.29268293,31,63.42069589,35.8337099,2759,1271
"Treutlen County, Georgia",Georgia,GA,13283,2,2700,1112,1074,1826,1652,66.96296296,31.85185185,60.07272727,39.05454545,1808,860
"Ottawa County, Ohio",Ohio,OH,39123,36,21742,12064,11503,10624,10538,56.98187839,37.42066047,46.82514997,51.11308598,12389,8136
"Mahnomen County, Minnesota",Minnesota,MN,27087,19,2074,1436,1276,843,871,47.78206365,44.84088717,39.91750687,58.47846013,991,930
"Delaware County, Pennsylvania",Pennsylvania,PA,42045,429,284832,178870,171792,115273,110853,37.41117571,59.39255421,38.81896878,60.15884355,106559,169169
"Wayne County, Pennsylvania",Pennsylvania,PA,42127,35,22365,9892,8396,12702,12896,68.27185334,28.60719875,59.68436155,38.85777757,15269,6398
"Charleston County, South Carolina",South Carolina,SC,45019,183,175850,82698,81487,69822,77629,42.78248507,50.63861245,48.0059614,50.39175793,75233,89048
"Perry County, Arkansas",Arkansas,AR,5105,17,4262,1352,1187,2743,2581,69.89676208,24.28437353,65.5408837,30.14220416,2979,1035
"Oglethorpe County, Georgia",Georgia,GA,13221,3,6650,2232,1914,4144,4251,69.5037594,27.5037594,67.76661884,30.51171688,4622,1829
"Charlottesville city, Virginia",Virginia,VA,51540,10,22211,15705,16510,4078,4844,13.28620954,80.43311872,22.22324173,75.74436849,2951,17865
"San Joaquin County, California",California,CA,6077,500,166647,113974,114121,91607,86071,40.99443734,53.88095795,42.04800266,55.75118346,68316,89791
"Washington County, Utah",Utah,UT,49053,104,57494,10826,8337,37311,44698,68.81761575,16.66782621,82.75568392,15.43545879,39566,9583
"Spencer County, Kentucky",Kentucky,KY,21215,14,9513,2519,2549,5378,5726,75.64385578,20.19341953,67.9160242,30.23366149,7196,1921
"Phelps County, Missouri",Missouri,MO,29161,20,18499,7394,5798,11706,11895,68.64695389,25.7365263,65.39307312,31.8746564,12699,4761
"Haskell County, Oklahoma",Oklahoma,OK,40061,11,4734,1474,1175,3207,3069,78.09463456,18.63117871,72.31385485,27.68614515,3697,882
"Bradford County, Pennsylvania",Pennsylvania,PA,42015,61,25399,10306,8624,15057,14410,70.69963384,24.65845112,61.51284897,36.81379664,17957,6263
"York County, Nebraska",Nebraska,NE,31185,12,6256,1607,1373,4848,4874,74.90409207,18.87787724,76.69551534,21.60503541,4686,1181
"Fayette County, Iowa",Iowa,IA,19065,26,9813,5908,5732,4205,4492,56.97544074,37.35860593,43.33397646,55.29616052,5591,3666
